CITY,DISTRICT,GEOCODE,DAY,TIME,T,TD,RH,WD,WS,BF,AT,Wx,Wx_n,PoP6h,PoP12h,get_day
臺北市,士林區,6301100,2018-07-02,06:00:00,27,23,78,偏西風,1,<= 1,31,晴,01,20,20,2018-07-01
臺北市,士林區,6301100,2018-07-02,09:00:00,32,26,70,偏西風,2,<= 1,37,晴,01,20,20,2018-07-01
臺北市,士林區,6301100,2018-07-02,12:00:00,36,27,62,偏西風,2,2,41,多雲,02,20,20,2018-07-01
臺北市,士林區,6301100,2018-07-02,15:00:00,35,27,65,偏南風,1,<= 1,39,多雲,02,20,20,2018-07-01
臺北市,士林區,6301100,2018-07-02,18:00:00,32,26,69,西南風,1,<= 1,37,多雲,02,10,10,2018-07-01
臺北市,士林區,6301100,2018-07-02,21:00:00,30,26,77,東北風,1,<= 1,35,晴,01,10,10,2018-07-01
臺北市,士林區,6301100,2018-07-03,00:00:00,29,27,87,西北風,2,<= 1,34,晴,01,0,10,2018-07-01
臺北市,士林區,6301100,2018-07-03,03:00:00,28,25,84,東北風,1,<= 1,32,多雲,02,0,10,2018-07-01
臺北市,士林區,6301100,2018-07-03,06:00:00,28,24,78,西南風,1,<= 1,32,多雲,02,20,20,2018-07-01
臺北市,士林區,6301100,2018-07-03,09:00:00,32,26,71,偏南風,1,<= 1,37,多雲,02,20,20,2018-07-01
臺北市,士林區,6301100,2018-07-03,12:00:00,35,27,63,西北風,2,2,40,多雲,02,20,20,2018-07-01
臺北市,士林區,6301100,2018-07-03,15:00:00,34,26,65,偏南風,2,<= 1,38,多雲,02,20,20,2018-07-01
臺北市,士林區,6301100,2018-07-03,18:00:00,32,28,79,偏北風,1,<= 1,37,多雲,02,10,10,2018-07-01
臺北市,士林區,6301100,2018-07-03,21:00:00,30,28,89,偏北風,1,<= 1,36,多雲,02,10,10,2018-07-01
臺北市,士林區,6301100,2018-07-04,00:00:00,29,27,90,西北風,1,<= 1,34,晴,01,0,10,2018-07-01
臺北市,士林區,6301100,2018-07-04,03:00:00,28,26,87,偏西風,1,<= 1,33,多雲,02,0,10,2018-07-01
