台灣扶鸞文化特展,(中華民國)蘭陽博物館,2018/01/01,2018/09/04
遺跡解謎「魟魚與海蛄蝦大戰」生痕化石特展,(中華民國)國立臺灣博物館;(中華民國)國立臺灣大學地質系,2018/01/01,2018/12/31
「蘭陽博物館」常設展,(中華民國)宜蘭縣立蘭陽博物館,2018/01/01,2018/12/31
2018星光閃耀黃金沙城-十全十美南投新視界,(中華民國)南投縣政府文化局,2018/01/30,2018/09/30
仿生展 從大自然來的絕妙點子,(中華民國)國立臺灣科學教育館,2018/01/01,2018/11/26
記憶・再生：大溪武德殿展演,(中華民國)桃園市立大溪木藝生態博物館,2018/02/14,2018/12/31
居延漢簡──漢帝國的防衛線,(中華民國)中央研究院歷史語言研究所歷史文物陳列館,2018/01/01,2018/12/31
稀世之珍──西北岡1001號大墓特展,(中華民國)中央研究院歷史語言研究所歷史文物陳列館,2018/01/01,2018/06/30
殷墟文化,(中華民國)中央研究院歷史語言研究所歷史文物陳列館,2018/01/01,2018/06/30
「夢‧行西城」特展,(中華民國)臺北市立文獻館,2018/01/01,2018/10/31
「快樂學歷史」常設展,(中華民國)宜蘭縣史館,2018/01/02,2018/12/30
「Ai Mi Na KAVALAN─噶瑪蘭族復名運動三十年」特展,(中華民國)宜蘭縣史館,2018/01/02,2018/09/30
主題書展,(中華民國)臺東縣政府文化處,2018/06/01,2018/06/30
主題書展,(中華民國)臺東縣政府文化處,2018/07/01,2018/07/31
主題書展,(中華民國)臺東縣政府文化處,2018/08/01,2018/08/31
主題書展,(中華民國)臺東縣政府文化處,2018/09/01,2018/09/30
主題書展,(中華民國)臺東縣政府文化處,2018/10/01,2018/10/31
主題書展,(中華民國)臺東縣政府文化處,2018/11/01,2018/11/30
主題書展,(中華民國)臺東縣政府文化處,2018/12/01,2018/12/31
艾摩爾創作個展：告黑,(中華民國)艾摩爾,2018/02/02,2018/07/01
安平蚵灰窯文化館常設展,(中華民國)臺南市安平蚵灰窯文化館,2018/01/01,2018/12/30
葉石濤文學紀念館常設展,(中華民國)葉石濤,2018/01/01,2018/12/30
鐵道園區雕塑展,(中華民國)展望;(中華民國)木戶修;(中華民國)多和圭三;(中華民國)成東勳;(中華民國)宋璽德;(中華民國)李在孝;(中華民國)梁任宏;(中華民國)董振平,2018/01/01,2018/12/31
[疲軟世界─蔣中正&毛澤東]雕塑展,(中華民國)邱昭財,2018/01/01,2018/12/31
許自貴《十二生肖》 雕塑展,(中華民國)許自貴,2018/01/01,2018/12/31
「音樂的慰藉：臺灣原住民現代歌謠中的共享記憶」特展,(中華民國)國立臺灣史前文化博物館,2018/02/09,2018/12/31
「音樂的慰藉：臺灣原住民現代歌謠中的共享記憶」特展,(中華民國)國立臺灣史前文化博物館,2019/01/01,2019/03/08
馬修連恩聲音雕塑,(中華民國)國立臺灣史前文化博物館,2018/01/01,2018/12/31
覓境-水下文化資產AR+VR虛擬實境體驗展,(中華民國)台中文化創意產業園區,2018/01/20,2018/07/30
想要帶你游花園：民樂交陪藝術季,(中華民國)台中文化創意產業園區,2018/01/01,2018/09/30
「緣客人生」常設展,(中華民國)苗栗縣政府國際文化觀光局,2018/01/01,2018/12/31
駁二塔PIER─2 TOWER,(中華民國)高雄市政府文化局,2018/01/01,2018/12/31
陳澄波畫作「山林唸歌」特展,(中華民國)陳澄波,2018/01/01,2018/12/31
第九屆「總統文化獎」特展,(中華民國)總統府,2018/01/01,2018/12/31
「遠古的榮耀-臺灣史前文化」特展,(中華民國)總統府,2018/01/01,2018/12/31
「設計M/m臺灣」特展	總統府,(中華民國)總統府,2018/01/01,2018/12/31
鳥語花香卦山情～林進華繪畫攝影展,(中華民國)林進華,2018/02/06,2018/07/01
藍約翰陶藝作品特展,(中華民國)藍約翰,2018/01/02,2018/12/30
鬼功．象牙球：牙雕的奇巧極致,(中華民國)國立故宮博物院南院處,2018/01/01,2018/07/01
南亞美玉特展：來自天方的仙工,(中華民國)國立故宮博物院南院處,2018/01/01,2018/07/29
尊重多樣，接納不一樣！科博館引進南非電影電視獎最佳動畫片 《酷巴的尋斑冒險》,國立自然科學博物館,2018/06/21,2018/06/29
為推廣線上蒐藏庫，凡成為會員，即可獲得科博館免費參觀劵，數量有限，歡迎把握機會！,國立自然科學博物館,2018/06/21,2018/09/29
作伙歡喜來閱讀～閱翻悅有趣：107老庄社區圖書借閱活動,(中華民國)苗栗縣卓蘭鎮立圖書館,2018/01/01,2018/12/31
《我家蟲住民》,(中華民國)國立自然科學博物館,2018/02/07,2018/10/14
狗的特展,(中華民國)國立自然科學博物館,2018/02/09,2018/09/02
南投國際沙雕藝術文化園區「2018星光閃耀黃金沙城」沙雕展,(中華民國)南投縣政府文化局,2018/01/30,2018/10/31
東門城「FUTURE ME」藝術行動　翻新老城印象,(中華民國)沃沃美學,2018/01/05,2018/06/30
游守中藝術空間 ,(中華民國)游守中,2018/02/21,2018/06/30
吳寬瀛─巨人的積木,(中華民國)吳寬瀛,2018/01/01,2018/12/31
袁金塔當代藝術展,(中華民國)袁金塔,2018/03/01,2018/06/30
第一特展室：客鄉硘想－客庄生活陶瓷特展,(中華民國)客家委員會客家文化發展中心,2018/02/09,2018/12/31
第三特展室（兒童館）：客庄遊樂去－探索客庄生活智慧及節慶生活,(中華民國)客家委員會客家文化發展中心,2018/01/01,2018/12/31
第四特展室：「硬頸時代－客家守護臺灣的故事」特展,(中華民國)客家委員會客家文化發展中心,2018/01/01,2018/12/31
第六特展室：閱讀記憶洪流-客家文學與音樂,(中華民國)客家委員會客家文化發展中心,2018/01/01,2018/06/30
第八特展室：風華世代．客家貢獻館,(中華民國)客家委員會客家文化發展中心,2018/01/01,2018/12/31
《我家蟲住民》特展,,2018/02/07,2018/10/15
駁二舊事倉庫,(中華民國)高雄市政府文化局,2018/01/01,2018/12/31
物．體無—在浪費的遺跡裡生產意義,(中華民國)袁慧莉;(中華民國)黃柏皓;(中華民國)曾霆羽,2018/05/16,2018/07/10
兒童主題書展(6月份),(中華民國)臺中市立圖書館大里分館,2018/06/01,2018/06/30
發現臺灣：重訪臺灣博物學與博物學家的年代DiscoveringTaiwan-Re-visitingtheAgeofNaturalHistoryandNaturalistofTaiw,,2017/11/21,2028/01/01
昆蟲飛行秘技特展SpecialExhibitionofInsectFlySecret,,2017/11/21,2018/09/03
2018文創暨師生美展 ,(中華民國)中華大學人文社會學院師生,2018/05/16,2018/09/21
山海共鳴──臺灣音樂常設展,(中華民國)臺灣音樂館,2018/01/01,2018/12/31
孫中山與臺灣,(中華民國)國立國父紀念館,2018/02/10,2018/12/31
工藝交流館--春夏季特展：漆物‧語日常,(中華民國)桃園市立大溪木藝生態博物館,2018/03/13,2018/08/12
來木博館壹號館‧穿越時空玩大溪,(中華民國)桃園市立大溪木藝生態博物館,2018/02/01,2018/12/31
時光造藝-日治時期臺灣生活工藝源流與傳承,,2018/04/06,2018/09/17
遇見大自然~矇眼摸樹x地球漫步,(中華民國)荒野保護協會,2018/03/17,2018/11/24
中國西南民族,(中華民國)中央研究院歷史語言研究所歷史文物陳列館,2018/01/01,2018/12/31
