證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
1715,萬洲            ,1.92,105,-,0.74,106/1
1717,長興            ,5.95,105,14.48,1.85,106/1
1718,中纖            ,0,105,-,0.48,106/1
1720,生達            ,4.52,105,18.65,1.59,106/1
1721,三晃            ,4.91,105,17.17,1.29,106/1
1722,台肥            ,5.04,105,138.83,0.81,106/1
1723,中碳            ,3.9,105,25.27,3.98,106/1
1724,台硝            ,6.25,105,14.68,1.02,106/1
1725,元禎            ,5.52,105,12.18,0.96,106/1
1726,永記            ,4.87,105,12.99,1.6,106/1
1727,中華化          ,4.78,105,15.12,0.95,106/1
1730,花仙子          ,5.38,105,13.07,2.05,106/1
1731,美吾華          ,4.01,105,18.51,1.04,106/1
1732,毛寶            ,0,105,-,1.3,106/1
1733,五鼎            ,4.48,105,-,1.98,106/1
1734,杏輝            ,0.45,105,157.14,1.21,106/1
1735,日勝化          ,4.1,105,20.68,0.86,106/1
1736,喬山            ,3.08,105,15.83,1.41,106/1
1737,臺鹽            ,4.96,105,17.29,1,106/1
1762,中化生          ,2.07,105,60.5,1.07,106/1
1773,勝一            ,6.32,105,11.64,2.16,106/1
1776,展宇            ,7.57,105,16.79,1.26,106/1
1783,和康生          ,0,105,-,2.1,106/1
1786,科妍            ,0,105,-,2.52,106/1
1789,神隆            ,1.76,105,46.34,2.93,106/1
1802,台玻            ,0,105,-,1,106/1
1805,寶徠            ,0,105,-,1.15,106/1
1806,冠軍            ,0,105,-,0.47,106/1
1808,潤隆            ,10.29,105,10.92,2.17,106/1
1809,中釉            ,2.68,105,50.91,0.59,106/1
1810,和成            ,0,105,9.38,0.6,106/1
1817,凱撒衛          ,5.64,105,11.4,1.8,106/1
1902,台紙            ,0,105,-,1.32,106/1
1903,士紙            ,0,105,-,2.84,106/1
1904,正隆            ,3.4,105,11.22,0.83,106/1
1905,華紙            ,3.47,105,24.63,0.72,106/1
1906,寶隆            ,5.58,105,3.92,0.66,106/1
1907,永豐餘          ,0,105,81.75,0.53,106/1
1909,榮成            ,4.38,105,10.98,1.55,106/1
