CITY,DISTRICT,GEOCODE,DAY,TIME,T,TD,RH,WD,WS,BF,AT,Wx,Wx_n,PoP6h,PoP12h,get_day
臺北市,大同區,6300600,2018-07-14,15:00:00,34,23,54,偏東風,4,3,35,晴,01,10,10,2018-07-13
臺北市,大同區,6300600,2018-07-14,18:00:00,32,22,57,偏東風,4,3,33,晴,01,0,10,2018-07-13
臺北市,大同區,6300600,2018-07-14,21:00:00,30,21,59,偏東風,4,3,31,多雲,02,0,10,2018-07-13
臺北市,大同區,6300600,2018-07-15,00:00:00,29,21,63,東南風,1,<= 1,30,晴,01,10,10,2018-07-13
臺北市,大同區,6300600,2018-07-15,03:00:00,28,22,71,偏東風,1,<= 1,31,多雲,02,10,10,2018-07-13
臺北市,大同區,6300600,2018-07-15,06:00:00,28,22,70,偏東風,2,2,30,多雲,02,10,10,2018-07-13
臺北市,大同區,6300600,2018-07-15,09:00:00,32,22,59,偏東風,4,3,34,晴,01,10,10,2018-07-13
臺北市,大同區,6300600,2018-07-15,12:00:00,35,24,55,偏東風,4,3,37,多雲,02,10,10,2018-07-13
臺北市,大同區,6300600,2018-07-15,15:00:00,34,24,60,偏東風,6,4,37,晴,01,10,10,2018-07-13
臺北市,大同區,6300600,2018-07-15,18:00:00,32,23,63,偏東風,6,4,32,晴,01,10,10,2018-07-13
臺北市,大同區,6300600,2018-07-15,21:00:00,30,21,59,偏東風,3,2,30,多雲,02,10,10,2018-07-13
臺北市,大同區,6300600,2018-07-16,00:00:00,29,21,63,偏東風,2,<= 1,30,晴,01,10,10,2018-07-13
臺北市,大同區,6300600,2018-07-16,03:00:00,28,21,65,偏東風,3,2,30,多雲,02,10,10,2018-07-13
臺北市,大同區,6300600,2018-07-16,06:00:00,27,20,64,偏東風,5,3,28,多雲,02,10,20,2018-07-13
臺北市,大同區,6300600,2018-07-16,09:00:00,31,22,61,偏東風,5,3,32,晴,01,10,20,2018-07-13
臺北市,大同區,6300600,2018-07-16,12:00:00,34,25,60,偏東風,6,4,35,多雲,02,20,20,2018-07-13
臺北市,大同區,6300600,2018-07-16,15:00:00,33,24,60,偏東風,6,4,34,晴,01,20,20,2018-07-13
臺北市,文山區,6300800,2018-07-13,18:00:00,29,24,75,東南風,3,2,32,晴,01,10,10,2018-07-13
臺北市,文山區,6300800,2018-07-13,21:00:00,27,23,80,東南風,2,<= 1,29,多雲,02,10,10,2018-07-13
臺北市,文山區,6300800,2018-07-14,00:00:00,26,23,86,東南風,1,<= 1,29,多雲,02,10,10,2018-07-13
臺北市,文山區,6300800,2018-07-14,03:00:00,25,23,92,東南風,1,<= 1,28,晴,01,10,10,2018-07-13
臺北市,文山區,6300800,2018-07-14,06:00:00,24,22,87,東南風,2,<= 1,27,晴,01,10,10,2018-07-13
臺北市,文山區,6300800,2018-07-14,09:00:00,30,23,69,東南風,3,2,33,多雲,02,10,10,2018-07-13
臺北市,文山區,6300800,2018-07-14,12:00:00,34,24,60,東南風,2,<= 1,37,晴,01,10,10,2018-07-13
臺北市,文山區,6300800,2018-07-14,15:00:00,32,25,65,東南風,3,2,36,晴,01,10,10,2018-07-13
臺北市,文山區,6300800,2018-07-14,18:00:00,30,24,71,東南風,4,3,32,晴,01,10,10,2018-07-13
臺北市,文山區,6300800,2018-07-14,21:00:00,28,22,72,東南風,2,2,29,多雲,02,10,10,2018-07-13
臺北市,文山區,6300800,2018-07-15,00:00:00,26,23,82,東南風,1,<= 1,29,晴,01,10,10,2018-07-13
臺北市,文山區,6300800,2018-07-15,03:00:00,25,24,92,東南風,1,<= 1,29,多雲,02,10,10,2018-07-13
臺北市,文山區,6300800,2018-07-15,06:00:00,25,23,87,東南風,1,<= 1,28,多雲,02,10,10,2018-07-13
臺北市,文山區,6300800,2018-07-15,09:00:00,30,23,70,東南風,2,2,34,晴,01,10,10,2018-07-13
臺北市,文山區,6300800,2018-07-15,12:00:00,33,25,63,東南風,2,2,37,多雲,02,10,10,2018-07-13
臺北市,文山區,6300800,2018-07-15,15:00:00,32,25,69,偏東風,5,3,36,晴,01,10,10,2018-07-13
臺北市,文山區,6300800,2018-07-15,18:00:00,29,25,78,偏東風,5,3,31,晴,01,10,10,2018-07-13
臺北市,文山區,6300800,2018-07-15,21:00:00,27,24,82,偏東風,2,2,28,多雲,02,10,10,2018-07-13
臺北市,文山區,6300800,2018-07-16,00:00:00,26,23,86,偏東風,1,<= 1,29,晴,01,10,10,2018-07-13
臺北市,文山區,6300800,2018-07-16,03:00:00,25,22,85,偏東風,1,<= 1,28,多雲,02,10,10,2018-07-13
臺北市,文山區,6300800,2018-07-16,06:00:00,24,20,78,偏東風,2,<= 1,27,多雲,02,10,20,2018-07-13
臺北市,文山區,6300800,2018-07-16,09:00:00,29,23,71,偏東風,2,2,32,晴,01,10,20,2018-07-13
臺北市,文山區,6300800,2018-07-16,12:00:00,33,26,67,偏東風,3,2,37,多雲,02,20,20,2018-07-13
臺北市,文山區,6300800,2018-07-16,15:00:00,32,25,69,偏東風,3,2,35,晴,01,20,20,2018-07-13
臺北市,士林區,6301100,2018-07-13,18:00:00,31,22,59,東南風,2,2,32,晴,01,10,10,2018-07-13
臺北市,士林區,6301100,2018-07-13,21:00:00,29,21,60,東南風,2,<= 1,31,多雲,02,10,10,2018-07-13
臺北市,士林區,6301100,2018-07-14,00:00:00,28,21,63,偏東風,2,2,31,多雲,02,0,10,2018-07-13
臺北市,士林區,6301100,2018-07-14,03:00:00,27,21,66,東南風,1,<= 1,29,晴,01,0,10,2018-07-13
臺北市,士林區,6301100,2018-07-14,06:00:00,27,20,67,東南風,2,<= 1,29,晴,01,10,10,2018-07-13
臺北市,士林區,6301100,2018-07-14,09:00:00,31,21,58,東南風,4,3,34,多雲,02,10,10,2018-07-13
臺北市,士林區,6301100,2018-07-14,12:00:00,34,22,53,東南風,4,3,36,晴,01,10,10,2018-07-13
臺北市,士林區,6301100,2018-07-14,15:00:00,33,22,53,偏東風,3,2,35,晴,01,10,10,2018-07-13
臺北市,士林區,6301100,2018-07-14,18:00:00,31,21,57,偏東風,3,2,33,晴,01,0,10,2018-07-13
臺北市,士林區,6301100,2018-07-14,21:00:00,30,21,60,偏東風,2,2,31,多雲,02,0,10,2018-07-13
臺北市,士林區,6301100,2018-07-15,00:00:00,29,20,62,東南風,1,<= 1,31,晴,01,10,10,2018-07-13
臺北市,士林區,6301100,2018-07-15,03:00:00,28,22,69,偏東風,1,<= 1,31,多雲,02,10,10,2018-07-13
臺北市,士林區,6301100,2018-07-15,06:00:00,27,21,69,偏東風,2,<= 1,30,多雲,02,10,10,2018-07-13
臺北市,士林區,6301100,2018-07-15,09:00:00,31,22,59,東南風,3,2,34,晴,01,10,10,2018-07-13
臺北市,士林區,6301100,2018-07-15,12:00:00,34,23,55,偏東風,3,2,36,多雲,02,10,10,2018-07-13
臺北市,士林區,6301100,2018-07-15,15:00:00,33,23,59,偏東風,6,4,35,晴,01,10,10,2018-07-13
臺北市,士林區,6301100,2018-07-15,18:00:00,31,22,62,偏東風,5,3,31,晴,01,10,10,2018-07-13
