資料日期,證券代號,持股分級,人數,股數,佔集保庫存數比例%
20180622,00637L,2,12906,36763412,1.24
20180622,00637L,3,7053,59245332,2.00
20180622,00637L,4,3230,42679348,1.44
20180622,00637L,5,3020,57025576,1.92
20180622,00637L,6,3270,86466280,2.91
20180622,00637L,7,1896,69628000,2.35
20180622,00637L,8,1559,73521005,2.48
20180622,00637L,9,3401,253630379,8.56
20180622,00637L,10,2032,295341537,9.97
20180622,00637L,11,1116,319963000,10.80
20180622,00637L,12,348,172168000,5.81
20180622,00637L,13,177,124096000,4.19
20180622,00637L,14,116,105548000,3.56
20180622,00637L,15,268,1265514119,42.73
20180622,00637L,16,0,0,0.00
20180622,00637L,17,40472,2961606000,100.00
20180622,00638R,1,9,2000,0.02
20180622,00638R,2,215,519000,6.52
20180622,00638R,3,47,403000,5.07
20180622,00638R,4,13,175000,2.20
20180622,00638R,5,19,356000,4.47
20180622,00638R,6,20,530000,6.66
20180622,00638R,7,1,40000,0.50
20180622,00638R,8,5,227000,2.85
20180622,00638R,9,8,536000,6.74
20180622,00638R,10,5,572000,7.19
20180622,00638R,11,3,667000,8.39
20180622,00638R,12,0,0,0.00
20180622,00638R,13,1,745000,9.37
20180622,00638R,14,0,0,0.00
20180622,00638R,15,2,3176000,39.95
20180622,00638R,16,0,0,0.00
20180622,00638R,17,348,7948000,100.00
20180622,00639,1,1391,639292,0.20
20180622,00639,2,6485,16860107,5.52
20180622,00639,3,2320,19677641,6.44
20180622,00639,4,808,10589730,3.46
20180622,00639,5,883,16854265,5.51
20180622,00639,6,691,18484000,6.05
20180622,00639,7,347,12818257,4.19
20180622,00639,8,282,13464439,4.40
20180622,00639,9,500,38402946,12.57
20180622,00639,10,246,36661655,12.00
20180622,00639,11,101,29700230,9.72
20180622,00639,12,27,13135557,4.30
20180622,00639,13,10,6823000,2.23
20180622,00639,14,4,3680000,1.20
20180622,00639,15,22,67611881,22.13
20180622,00639,16,0,0,0.00
20180622,00639,17,14117,305403000,100.00
20180622,00640L,1,11,450,0.00
20180622,00640L,2,273,579550,4.16
20180622,00640L,3,55,455000,3.26
20180622,00640L,4,19,259000,1.86
20180622,00640L,5,24,453000,3.25
20180622,00640L,6,19,490000,3.52
20180622,00640L,7,4,140000,1.00
20180622,00640L,8,9,434000,3.11
20180622,00640L,9,5,385000,2.76
20180622,00640L,10,3,465000,3.34
20180622,00640L,11,5,1577000,11.32
20180622,00640L,12,1,499000,3.58
20180622,00640L,13,3,2061000,14.80
20180622,00640L,14,2,1744000,12.52
20180622,00640L,15,3,4377000,31.44
20180622,00640L,16,0,0,0.00
20180622,00640L,17,436,13919000,100.00
20180622,00641R,1,8,451,0.00
20180622,00641R,2,643,1724449,5.10
20180622,00641R,3,237,1966000,5.82
20180622,00641R,4,93,1239100,3.67
20180622,00641R,5,75,1407000,4.16
20180622,00641R,6,76,1999000,5.92
20180622,00641R,7,40,1456000,4.31
20180622,00641R,8,36,1687000,4.99
20180622,00641R,9,59,4257000,12.61
20180622,00641R,10,25,3440000,10.19
20180622,00641R,11,12,3596000,10.65
20180622,00641R,12,1,506000,1.49
20180622,00641R,13,5,3492000,10.34
20180622,00641R,14,0,0,0.00
20180622,00641R,15,3,6988000,20.70
20180622,00641R,16,0,0,0.00
20180622,00641R,17,1313,33758000,100.00
20180622,00642U,1,199,50037,0.07
20180622,00642U,2,3754,8429963,12.16
20180622,00642U,3,670,5632084,8.12
20180622,00642U,4,223,2973000,4.28
20180622,00642U,5,200,3816000,5.50
20180622,00642U,6,159,4274010,6.16
20180622,00642U,7,74,2704001,3.90
20180622,00642U,8,52,2450810,3.53
20180622,00642U,9,58,4432000,6.39
20180622,00642U,10,33,5158000,7.44
20180622,00642U,11,12,3081000,4.44
20180622,00642U,12,4,2016000,2.90
20180622,00642U,13,0,0,0.00
20180622,00642U,14,1,943000,1.36
20180622,00642U,15,8,23368095,33.70
20180622,00642U,16,1,7000,0.01
20180622,00642U,17,5447,69321000,100.00
20180622,00643,1,69,22403,0.00
20180622,00643,2,4208,11953592,4.42
20180622,00643,3,1818,16135797,5.96
20180622,00643,4,624,8528163,3.15
20180622,00643,5,581,11166177,4.12
20180622,00643,6,583,15491737,5.72
20180622,00643,7,230,8477775,3.13
20180622,00643,8,268,13089000,4.84
20180622,00643,9,366,28250000,10.44
20180622,00643,10,162,22854661,8.45
20180622,00643,11,67,18191368,6.72
20180622,00643,12,22,11033000,4.08
20180622,00643,13,10,6910000,2.55
20180622,00643,14,5,4520000,1.67
20180622,00643,15,22,93766327,34.67
20180622,00643,16,0,0,0.00
20180622,00643,17,9035,270390000,100.00
20180622,00643K,1,0,0,0.00
20180622,00643K,2,2,3000,0.96
20180622,00643K,3,0,0,0.00
20180622,00643K,4,0,0,0.00
20180622,00643K,5,1,17000,5.48
20180622,00643K,6,0,0,0.00
20180622,00643K,7,0,0,0.00
20180622,00643K,8,0,0,0.00
20180622,00643K,9,1,98000,31.61
20180622,00643K,10,1,192000,61.93
20180622,00643K,11,0,0,0.00
20180622,00643K,12,0,0,0.00
20180622,00643K,13,0,0,0.00
20180622,00643K,14,0,0,0.00
20180622,00643K,15,0,0,0.00
20180622,00643K,16,0,0,0.00
20180622,00643K,17,5,310000,100.00
20180622,00645,1,1222,448844,1.60
20180622,00645,2,357,688684,2.45
20180622,00645,3,58,451944,1.61
20180622,00645,4,5,60528,0.21
20180622,00645,5,6,112000,0.40
20180622,00645,6,7,168000,0.60
20180622,00645,7,1,40000,0.14
20180622,00645,8,3,146000,0.52
20180622,00645,9,3,211000,0.75
20180622,00645,10,2,285000,1.01
20180622,00645,11,3,880000,3.14
20180622,00645,12,1,430000,1.53
20180622,00645,13,1,680000,2.42
20180622,00645,14,0,0,0.00
20180622,00645,15,4,23395000,83.56
20180622,00645,16,0,0,0.00
20180622,00645,17,1673,27997000,100.00
20180622,00646,1,53,7341,0.00
20180622,00646,2,1130,2300940,0.82
20180622,00646,3,144,1176857,0.41
20180622,00646,4,43,553000,0.19
20180622,00646,5,24,455000,0.16
20180622,00646,6,21,540862,0.19
20180622,00646,7,11,406000,0.14
20180622,00646,8,8,392000,0.13
20180622,00646,9,11,831000,0.29
20180622,00646,10,4,545000,0.19
20180622,00646,11,7,2077000,0.74
