貼文時間,貼文ID,貼文內容,分享內容,讚數,分享數
2018-01-01 08:30:00+00:00,111515882197852_1076201215854219,"巧克力控的口袋名單 ?

【店家資訊】? http://bit.ly/2lw92ps
【完整節目】? http://bit.ly/2pBYg69

#就要醬玩／ 楊子儀／ 宅之小惡魔 小CALL／ GTM-AJ 賴煜哲

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu",,2301,123
2018-01-01 07:30:00+00:00,111515882197852_1077340602406947,"放假就是要瘋狂拍照+打卡 ?
卡娜赫拉在這裡 ? http://bit.ly/2zVYox9

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu",,1066,23
2018-01-01 06:30:00+00:00,111515882197852_1963463183669770,"? 連假出遊就要醬買！?

跟著阿松逛完 #淘寶天貓 的耶誕城期間限定貨櫃覺得不過癮嗎？快來抓住 ? 網購密技，讓你上網好康優惠拿不斷～

?不要錯過價格超殺交通卡
?不要錯過CP超高行車紀錄器

#每月記得上來搶優惠
鎖定 Tmall 天貓 神秘好禮等你誒 ?

#糖糖尚蓋巧",,344,2
2018-01-01 05:30:00+00:00,111515882197852_1966455610037194,"超商就能買得到「打卡系」單品 ?

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu",,1008,30
2018-01-01 04:35:10+00:00,111515882197852_1966483830034372,"? 【桑塔熊直播Live】#桑塔熊出任務最終場   ? #請分享 
新的一年到了! 今天是新北歡樂耶誕城的最後一天
除了跟大家說聲新年快樂，
也要跟所有大朋友小朋友說掰掰囉!
桑塔熊家族全員到齊獻上新年健康操
在家看直播的朋友也趕快跟著一起動吃動~~
桑塔熊特別準備了小禮物送現場的民眾唷!

#桑塔熊 #HUAWEI  #HUAWEI保溫瓶 

?新北市歡樂耶誕城【VR實境劇場】",食尚玩家 was live.,560,31
2018-01-01 04:00:00+00:00,111515882197852_1077321139075560,"花毯節、落羽松人潮大爆滿 ???

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu",,2587,80
2018-01-01 03:00:00+00:00,111515882197852_1075622559245418,"#預告 ?+? 雙重享受 ?

? 鎖定今晚十點【2018第一彈 直衝北海岸溫泉海鮮一次滿足】

#來去住一晚／ 黃鐙輝／ 宅之小惡魔 小CALL

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu

? 在家逛VR耶誕城 https://goo.gl/d1HnHH",,1202,36
2018-01-01 01:30:00+00:00,111515882197852_1963203440362411,"? 大家踩過哪幾個呢？

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu

? 在家逛VR耶誕城 https://goo.gl/d1HnHH",,1453,94
2017-12-31 23:30:00+00:00,111515882197852_1076503592490648,"這碗 #鹹湯圓 果然是招牌啊 ? 

【店家資訊】? http://bit.ly/2ElbmrV
【完整節目】? http://bit.ly/2CcyQkN

#食尚玩家／ 莎莎公主(鍾欣愉)／ 納豆

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu",,2156,28
2017-12-31 15:58:04+00:00,111515882197852_1965755830107172,"??? 倒數了 倒數了 ?
#2018新年快樂",食尚玩家 shared TVBS 新聞's live video.,3025,8
2017-12-31 15:00:00+00:00,111515882197852_1076523259155348,"? 超冷~ 零下五度徒手抓魚 ?
#2018華川山川魚慶典 ? http://bit.ly/2Crija4

? 吃貨好友缺你一個 ? https://goo.gl/aUBhqD
全新食尚官網上線啦 ? http://bit.ly/2BMJ1Nu",,2381,118
